mean_x,std_x,mean_y,std_y,mean_z,std_z,median_x,median_y,median_z,rms_x,rms_y,rms_z,Activity,window_size,extra_cols,classifier,accuracy
-7.281669609794079,4.936537544139018,-4.250604258718,2.491213438946553,1.59097674641811,1.6506973747282778,-8.283175,-3.478766,1.6226257,8.79727885376454,4.926842900135898,2.2925987068342297,1.0,,,,
-6.86002869570973,5.37101498744746,-4.3305485745011,2.682505979882348,1.7162834495349104,1.9993090799902768,-8.1454615,-3.5530114,1.629212,8.71250800294302,5.09406412290011,2.634931816286527,1.0,,,,
-6.79748132362973,5.388835159561574,-4.369541528671861,2.760077731749492,1.76419018646474,2.1688431394450305,-8.071216,-3.62785585,1.6459772,8.674404689776814,5.168261047594968,2.795755278549299,1.0,,,,
-7.116454335992629,5.212446237306358,-4.18574054586836,2.713581955507598,1.8745326879263,2.196926381135705,-8.1041475,-3.5506165,1.771117,8.821197089572227,4.988381595926959,2.8879678533934943,1.0,,,,
-8.17006402162063,4.399102429255044,-3.70142388734446,2.320951844243078,2.0896886689741803,2.1359095564569857,-8.378377,-3.3416511,1.9579284,9.279118939880956,4.368907902107748,2.988127903320632,1.0,,,,
-8.20365764459063,4.4464218630792205,-3.71823417059486,2.3812641633433547,2.1448329153801104,2.1574363958567053,-8.393346,-3.3410523,2.0429516,9.331166386584218,4.415391756458601,3.042176858281765,1.0,,,,
-8.502769478719651,4.2718554422919714,-3.58707020775184,2.2767031318918725,2.24786617691298,2.129949903960465,-8.483159,-3.246449,2.1339624,9.515557667740024,4.248582095959438,3.0967061440651054,1.0,,,,
-8.97363582833152,3.737111784720506,-3.34136060456914,2.052737372285645,2.40508711389216,2.040826006858396,-8.6280575,-3.1111305,2.2495221,9.720706994401796,3.921533043255511,3.154269299803,1.0,,,,
-9.02635943126152,3.779001648931196,-3.26388878821648,2.064737957586807,2.38320130619292,2.0698443931314987,-8.6538045,-3.0177245,2.1848565,9.785500398290754,3.862138378585752,3.156565265857423,1.0,,,,
-9.095403648401522,3.80702387327541,-3.28636688506818,2.165058792683327,2.34930279876278,2.152057094099367,-8.765772,-3.0308971,2.14474,9.860010055727356,3.935439858395516,3.185996449548876,1.0,,,,
-9.141998516961522,3.783855965391628,-3.26066640909118,2.1585337871129378,2.26015598036936,2.09585438504832,-8.816067,-3.01832325,2.0645068,9.894124663200705,3.9103981308152873,3.082354726329475,1.0,,,,
-9.61112500497587,2.8805457571686133,-3.17525174994278,2.0047457821140324,2.16415293984772,1.88765897149582,-8.981323,-2.9213251,2.05552555,10.033507249233166,3.755160359614312,2.871726717450702,1.0,,,,
-9.718926151505867,2.7999599074884243,-3.16070212541572,1.899980399159344,2.2027932273700297,1.7648297896040073,-9.087902,-2.887196,2.0800745,10.114212822655418,3.6878128264321046,2.822573681734632,1.0,,,,
-9.82370514288587,2.7763044190558235,-3.1320131439141203,1.8459571544262343,2.23843027982696,1.7872355254644057,-9.211246,-2.83031425,2.0914508,10.2084792678259,3.635528042750903,2.864398879543181,1.0,,,,
-9.79344730459587,2.7635119068301317,-3.1140271454178903,1.8337863904242016,2.3112266585904,1.7876065463788855,-9.1621475,-2.8536658,2.1854553,10.17588365534355,3.6138535648396872,2.921866840229991,1.0,,,,
-9.79198287066587,2.7405088955696946,-3.0636515023831903,1.808651328259806,2.37634795859882,1.8001540153853215,-9.1663385,-2.8105555,2.2764661,10.168250466334436,3.5576930945868197,2.981205142127035,1.0,,,,
-9.82281563416587,2.7778597399480254,-2.98823353515324,1.7829654316082275,2.44190850457985,1.816527964484592,-9.202264,-2.7566674,2.3315516,10.208046420233282,3.479727775404901,3.043466935994859,1.0,,,,
-9.8789344127,2.775131282084544,-2.9498535864545405,1.787084143363485,2.47098799356162,1.8377758241197877,-9.226812,-2.7075696,2.3387365,10.261320517517834,3.4489572216801867,3.0794807426000967,1.0,,,,
-9.872649161335,2.827086374144499,-2.94534627939137,1.819421119410544,2.44783042951273,1.9104820068901205,-9.2489665,-2.71655095,2.323169,10.269450755988958,3.4619875671760725,3.1051272615304155,1.0,,,,
-9.880974966295,2.971951458715879,-2.89830977162467,1.7931867859717232,2.47930014792375,1.9251812137198745,-9.216035,-2.6866132,2.3195764,10.318244121821888,3.408184029901943,3.1389889979346304,1.0,,,,
-9.957769709934,3.3904406310695263,-2.90634781644607,1.9868838539009064,2.52197304815134,2.1726460135397025,-9.2633365,-2.687212,2.3620881,10.519138047810104,3.520591580835948,3.328774362397025,1.0,,,,
-9.970149564059,3.50871419665873,-2.89545406994662,1.948381834598902,2.52778947350199,2.1794574551682264,-9.244177,-2.6800268,2.3483167,10.569529679391623,3.489963616510268,3.337627064433028,1.0,,,,
-10.014068593802,3.7405874742051006,-2.90122043894784,2.028470713987101,2.52176360419912,2.3168159556430754,-9.316626,-2.6931994,2.3327491,10.68988140502745,3.540024501733291,3.424460227216206,1.0,,,,
-10.056936448021998,3.753589563521628,-2.88841882078826,2.033727501824913,2.5376403086793,2.396125105200349,-9.360934,-2.7027795,2.34053285,10.73458920177814,3.532564342791628,3.4901337876942997,1.0,,,,
-10.166232566272,3.7510282257835534,-2.90853782271766,2.0954362315220587,2.4984567116631404,2.4638065645221365,-9.5070305,-2.6860144,2.25790465,10.836166173612986,3.5847517719577957,3.5089355547568783,1.0,,,,
-10.247302775632,3.769132898730695,-2.89073396587746,2.158357524558583,2.4590471441228705,2.518075061804496,-9.582473,-2.630929,2.20222045,10.91849701120852,3.6076100212323774,3.5196043632630865,1.0,,,,
-10.171872594088002,3.789078660417807,-2.9734817707342303,2.32071073495566,2.40534984860291,2.5714628981546634,-9.529782,-2.6590704,2.1088147,10.85468144006042,3.7719082910679593,3.5210977451300645,1.0,,,,
-10.171184265088,3.85956574654616,-2.96459241707033,2.329922922585049,2.3696265756776604,2.581211614811098,-9.566307,-2.64589775,2.0680993,10.878843555557095,3.7705900101361007,3.503966824699336,1.0,,,,
-10.230841088583,3.840198196844874,-2.95900663268402,2.340442223363994,2.39476721587579,2.552836508851961,-9.610615,-2.6171576,2.090852,10.927819158957966,3.772716534961648,3.5002691695298163,1.0,,,,
-10.282306946973,3.755203222529736,-2.93278883348862,2.331851724803663,2.42189153061935,2.55476448915874,-9.6752805,-2.5926087,2.1058209000000003,10.94656966333595,3.746836373302864,3.520281264494679,1.0,,,,
-10.286850417964,3.4511732277014127,-2.91297807006742,2.3032425079352783,2.45522505446815,2.425252976323901,-9.708212,-2.5375233,2.1465363,10.850340463283588,3.713538378292825,3.451084187216543,1.0,,,,
-10.321351272509,3.37661881105581,-2.92362261524292,2.335085154395118,2.47600268643072,2.430810624439991,-9.73156325,-2.5279431,2.1752765,10.85964302754465,3.741683027012887,3.4697881196266844,1.0,,,,
-10.134738415686218,3.360734697551642,-2.8780019228258698,2.401737260458061,2.60131633520019,2.534952021857283,-9.610016,-2.4704626,2.2201831,10.677427614445044,3.748497957323973,3.6321933358368574,1.0,,,,
