@relation features_window_size_2000

@attribute mean_x numeric
@attribute std_x numeric
@attribute mean_y numeric
@attribute std_y numeric
@attribute mean_z numeric
@attribute std_z numeric
@attribute Activity {hand_wash,not_hand_wash}

@data
2.290607,0.129662,-3.252074,0.227657,9.120916,0.132869,not_hand_wash
1.161257,1.460294,-2.708855,0.912948,9.423454,0.52805,not_hand_wash
-0.435148,1.154417,-2.253346,1.177643,9.716734,0.583723,not_hand_wash
-0.655171,0.603805,-2.827709,1.116617,9.581741,0.515443,not_hand_wash
-0.326898,0.433033,-3.367247,0.425178,9.43368,0.302393,not_hand_wash
-0.495367,0.239333,-3.217398,0.460526,9.496594,0.173999,not_hand_wash
-0.951519,0.461696,-2.181311,1.297189,9.752882,0.305316,not_hand_wash
-3.259866,3.656633,-1.614372,2.125421,7.911934,3.8059,not_hand_wash
-5.340491,6.341968,-2.486061,2.84586,4.11798,4.087024,not_hand_wash
-8.199983,6.600265,-2.833766,2.371541,2.035904,2.336154,not_hand_wash
-10.75402,2.879048,-2.430422,1.672721,1.697267,2.068875,not_hand_wash
-3.613742,4.619828,-4.850297,3.859307,2.818092,4.350697,not_hand_wash
0.097241,4.588335,-6.65298,2.466486,3.405272,3.235515,not_hand_wash
2.254592,1.565566,-2.918727,5.045085,6.972332,2.718602,not_hand_wash
-0.403847,2.508927,2.170461,4.834914,8.197166,2.052666,not_hand_wash
-2.479023,2.408958,3.961623,3.39979,8.215816,1.587277,not_hand_wash
-2.407889,2.82335,3.281314,3.289617,7.900794,3.234188,not_hand_wash
-1.066147,3.447068,1.58548,4.521796,6.80932,4.734452,not_hand_wash
2.31431,3.660973,-3.490801,5.437895,3.963635,4.296357,not_hand_wash
4.767956,0.314248,-7.642527,0.38938,2.005892,1.181503,not_hand_wash
3.764555,0.950603,-7.988865,0.492889,2.6633,1.154087,not_hand_wash
3.324831,0.572205,-8.32381,0.332633,2.109466,1.327318,not_hand_wash
3.559576,0.284291,-8.364804,0.228492,1.724869,0.888197,not_hand_wash
3.256475,0.315421,-8.445159,0.271392,2.088077,0.652789,not_hand_wash
3.045001,0.259945,-8.528457,0.249293,2.047577,0.687674,not_hand_wash
2.934282,0.19658,-8.520966,0.24044,2.358643,0.511685,not_hand_wash
2.87461,0.365752,-7.044691,2.965082,4.066034,2.613855,not_hand_wash
2.556821,0.570925,-4.664417,3.018152,7.120017,2.643339,not_hand_wash
1.837508,0.666935,-3.61397,1.608459,8.861143,0.882946,not_hand_wash
-1.272523,4.402415,-4.948763,2.651711,5.252623,4.195204,not_hand_wash
-6.351294,4.355811,-4.055591,4.085141,1.417819,2.045495,not_hand_wash
-7.644611,3.234774,-2.959653,3.519352,0.212495,3.102607,not_hand_wash
-3.755448,4.519461,-4.045148,2.098508,3.582244,5.598103,not_hand_wash
-0.599993,2.188023,-4.029429,0.880603,8.604497,1.991575,not_hand_wash
-0.246588,0.042253,-4.202335,0.050536,9.024107,0.0502,not_hand_wash
-0.246316,0.042245,-4.231114,0.054138,9.00803,0.050718,not_hand_wash
-0.243359,0.042297,-4.263195,0.046029,8.988475,0.050532,not_hand_wash
