@relation features_window_size_1000_extra_cols_False_walk

@attribute mean_x numeric
@attribute std_x numeric
@attribute mean_y numeric
@attribute std_y numeric
@attribute mean_z numeric
@attribute std_z numeric
@attribute Activity {'outdoor walk','indoor walk'}

@data
-7.851183,1.880419,-4.473258,2.188909,2.732097,1.153853,'indoor walk'
-5.422494,4.186929,-5.91449,2.868771,2.539001,1.260712,'indoor walk'
2.071461,3.741549,-3.74334,6.486858,4.472319,2.039349,'indoor walk'
-5.146326,6.209047,-2.649177,4.062542,3.413575,1.884442,'indoor walk'
-8.037951,0.6534,-4.649265,0.87344,3.506797,0.627062,'indoor walk'
-8.055075,0.097787,-4.509328,0.106032,3.832517,0.229947,'indoor walk'
-8.246093,0.195503,-4.285404,0.245061,3.671282,0.286419,'indoor walk'
-8.423887,0.088322,-4.066393,0.106312,3.529144,0.187326,'indoor walk'
-8.372591,0.216906,-4.079273,0.332559,3.633721,0.303516,'indoor walk'
-8.595129,0.512579,-3.63132,0.657647,3.601773,0.405981,'indoor walk'
-8.952881,0.13539,-2.734287,0.208633,3.735936,0.24895,'indoor walk'
-8.9597,0.12763,-2.612194,0.086643,3.845707,0.26236,'indoor walk'
-9.01779,0.117248,-2.496077,0.088433,3.79355,0.266588,'indoor walk'
-9.181778,0.297768,-1.125059,0.882173,4.166841,0.322397,'indoor walk'
-9.168639,0.137808,-0.503652,0.178558,4.514292,0.24873,'indoor walk'
-7.696804,3.983418,-1.735596,2.824238,3.860143,2.21511,'indoor walk'
-2.464949,1.683385,-7.017231,3.299272,-0.300003,4.83172,'indoor walk'
-2.823546,0.663591,-8.272158,0.959596,0.719385,3.718403,'indoor walk'
-2.828996,1.95008,-7.653514,1.415094,-0.116726,4.448044,'indoor walk'
-1.227814,4.319167,-7.972389,4.175729,0.056502,2.824942,'indoor walk'
-9.664127,0.58982,-1.979007,1.251464,-0.124776,1.086366,'indoor walk'
-9.823889,0.15509,-1.331571,0.23651,-0.196744,0.434531,'indoor walk'
-9.889407,0.142098,-0.884784,0.297197,-0.129774,0.347556,'indoor walk'
-5.45154,4.648288,-4.003539,2.94791,-2.222313,3.554957,'indoor walk'
1.354976,0.181128,-6.483005,0.267802,-6.232811,0.225062,'indoor walk'
