@relation features_window_size_3000_extra_cols_True_walk

@attribute mean_x numeric
@attribute std_x numeric
@attribute mean_y numeric
@attribute std_y numeric
@attribute mean_z numeric
@attribute std_z numeric
@attribute median_x numeric
@attribute median_y numeric
@attribute median_z numeric
@attribute rms_x numeric
@attribute rms_y numeric
@attribute rms_z numeric
@attribute Activity {'outdoor walk','indoor walk'}

@data
-10.213697,4.944702,-2.968329,2.520557,2.434086,2.945245,-9.490265,-2.760859,2.110012,11.347673,3.894122,3.820896,'outdoor walk'
-10.352481,4.003637,-2.916085,2.164155,2.582428,2.683128,-9.793235,-2.780019,2.254911,11.099683,3.631407,3.723992,'outdoor walk'
-10.591981,3.538011,-3.023526,2.175077,2.588699,2.788671,-10.083033,-2.841691,2.251917,11.167255,3.724603,3.805003,'outdoor walk'
-10.612294,2.745044,-2.978449,2.194603,2.481332,2.554145,-10.067464,-2.641707,2.16869,10.961572,3.699654,3.560993,'outdoor walk'
-10.208655,2.965019,-3.179736,2.570991,2.279443,2.463166,-9.73755,-2.598596,1.989663,10.630521,4.089097,3.356047,'outdoor walk'
-9.97934,3.420288,-3.007499,2.510743,2.2039,2.304051,-9.490265,-2.483635,1.909429,10.549199,3.917765,3.188389,'outdoor walk'
-9.900415,3.458812,-2.966113,2.372652,2.273911,2.17229,-9.42979,-2.469265,2.02439,10.487211,3.798329,3.14476,'outdoor walk'
-10.287469,3.360713,-2.666385,1.926756,2.435194,2.101625,-9.606424,-2.39502,2.148931,10.822496,3.289681,3.216675,'outdoor walk'
-10.391322,3.073562,-2.726372,2.247486,2.590754,2.216853,-9.582473,-2.3082,2.320774,10.836344,3.533313,3.409757,'outdoor walk'
-10.43071,3.240346,-2.798805,2.425536,2.640649,2.290933,-9.612411,-2.296824,2.320774,10.922433,3.703584,3.495912,'outdoor walk'
-9.721801,3.854412,-2.785706,2.728652,3.032169,2.841365,-9.339977,-2.32257,2.475852,10.458007,3.899448,4.155407,'outdoor walk'
-9.93984,3.874193,-2.778281,2.532976,2.990499,2.789447,-9.572893,-2.451901,2.465673,10.668168,3.75963,4.089511,'outdoor walk'
-9.977567,3.698955,-2.741547,2.518912,3.153598,2.892896,-9.759106,-2.521956,2.629133,10.641152,3.723036,4.279489,'outdoor walk'
-10.056229,3.683636,-2.798209,2.648287,3.114001,2.791965,-9.87227,-2.559078,2.631528,10.709665,3.852713,4.182352,'outdoor walk'
