@relation tmpv34f85xp

@attribute 146417812 numeric
@attribute -0.0371228 numeric
@attribute -6.4102697 numeric
@attribute 7.4556956 numeric

@data
146420646,-4.932543,-9.114246,0.537682
146420656,-3.136278,-8.786129,-2.053729
146420666,-1.154399,-9.115444,-3.233276
146420676,0.530497,-10.073452,-2.960244
146420686,2.11121,-10.541678,-2.094444
146420696,2.629731,-10.008786,-1.100511
146420706,2.314786,-9.674682,-1.560355
146420716,2.44771,-9.455537,-2.022594
146420726,2.650089,-9.580078,-2.247726
146420736,2.245331,-8.922646,-3.562592
146420746,1.516047,-10.741663,-5.327721
146420756,0.083826,-10.753637,-5.792355
146420766,-2.19264,-9.588461,-4.734953
146420776,-2.889591,-7.508386,-4.975653
146420786,-2.089654,-6.805448,-5.653444
146420796,-0.552052,-6.912026,-6.240223
146420806,0.547262,-6.704857,-6.539601
146420816,0.785566,-6.427035,-6.715635
146420826,0.414338,-6.574328,-6.229446
146420836,-0.135319,-6.952742,-4.713399
146420846,-1.027463,-7.144343,-3.493136
146420855,-1.58191,-6.918014,-3.660787
146420865,-1.59149,-6.377937,-3.142266
146420875,-1.089734,-5.961204,-3.466791
146420885,-0.239502,-6.607859,-4.314628
146420895,0.382006,-7.995773,-4.5685
146420905,0.686173,-9.24717,-4.278702
146420915,0.311353,-9.520203,-3.142266
146420925,0.007185,-7.544312,-3.348237
146420960,-0.159269,-4.174519,-1.359174
146420970,-0.729283,-6.794671,-4.988826
146420980,-1.838177,-8.954978,-2.781815
146420990,-2.690805,-11.419453,-4.424798
146421000,-1.726809,-14.651532,-7.743098
146421010,-1.49569,-16.039446,-7.129973
146421020,-2.054927,-14.72937,-5.645061
146421030,-2.19264,-11.805051,-5.476212
146421040,-1.146017,-9.395661,-5.410349
146421050,0.526904,-7.36229,-4.378096
146421060,1.626218,-6.095325,-4.00088
146421070,1.688489,-5.932463,-4.631968
146421079,0.959205,-6.865323,-5.054689
146421089,-0.252675,-7.35271,-5.548063
146421099,-0.959205,-8.716674,-7.575447
146421109,-1.227448,-9.330996,-7.904762
146421119,-0.992736,-10.020762,-10.703342
146421129,0.252675,-6.679709,-10.870994
146421139,1.243015,-4.285887,-8.663983
146421149,1.773512,-7.12638,-3.239264
146421159,2.257306,-7.643705,5.219945
146421169,1.78429,-7.204219,4.810397
146421179,0.845442,-8.674761,2.357897
146421189,2.77463,-7.252119,0.238304
146421199,3.666775,-1.610651,5.158872
146421209,1.071771,-2.228566,6.491701
146421219,-0.481399,-7.244934,5.630691
146421229,-1.825005,-11.485316,2.325564
146421239,-2.981799,-11.678115,-0.714913
146421249,-2.521955,-10.338101,-3.348237
146421259,-1.089734,-9.620793,-3.43326
146421269,1.113684,-11.096126,-2.577041
146421279,3.65959,-11.727213,-0.962798
146421289,4.643943,-10.805131,-0.820294
146421299,2.747088,-12.549902,-1.681304
146421309,0.253872,-12.207415,-1.209485
146421319,-2.800975,-12.01222,-1.311273
146421329,-5.287005,-9.345367,-1.575923
146421339,-5.470224,-7.193441,-4.27032
146421349,-1.859733,-5.910908,-6.804251
146421359,0.358055,-6.428232,-10.42552
146421369,-0.011975,-6.268964,-11.156001
146421379,-2.105222,-5.892946,-9.941726
146421389,-4.016447,-6.431825,-5.968389
146421399,-4.653523,-9.285491,-4.628375
146421409,-2.587819,-11.887679,-3.33746
146421419,0.285007,-12.933105,-2.786605
146421429,2.027384,-12.036171,-3.083588
146421439,1.755549,-10.34409,-4.087101
146421449,0.855022,-9.727372,-3.136278
146421462,0.343685,-9.587263,-3.970943
146421472,-0.174836,-8.442444,-3.820056
146421482,-0.520917,-7.365882,-4.0392
146421492,-1.015488,-6.998247,-4.125421
146421502,-1.316063,-6.932384,-4.117039
146421512,-1.21667,-6.926396,-4.041595
146421522,-1.009501,-6.685697,-2.280059
146421532,-0.311353,-6.849756,-1.363964
146421542,0.611927,-7.042555,2.914739
146421552,0.069456,-6.679709,6.278543
146421562,-1.307681,-7.453301,7.034173
146421572,-0.924477,-10.180031,4.782854
146421582,-1.066981,-12.236155,1.987866
146421592,-1.598675,-12.011023,-0.924477
146421602,-1.844165,-9.56451,-2.420167
146421612,-1.653761,-7.255712,-3.165018
146421622,-0.720901,-5.822292,-1.193917
146421632,-0.500559,-4.482279,1.124462
146421642,-1.136437,-3.176993,-0.153281
146421652,-2.027384,-9.687854,0.517324
146421662,-1.951941,-12.8876,-0.183219
146421672,-3.085983,-11.187137,-4.312233
146421682,-2.71715,-8.735834,-9.345367
146421692,-2.605781,-9.999207,-13.86357
146421702,-2.045347,-11.117681,-12.25292
146421712,-0.377216,-12.694801,-8.921448
146421722,0.864602,-12.800182,-4.326603
146421732,0.415536,-10.533296,-0.325723
146421742,-1.998644,-7.957452,0.434696
146421752,-3.180586,-6.895261,1.663341
146421761,-4.021238,-6.192323,3.217709
146421771,-3.103945,-6.09293,3.142266
146421781,-1.569935,-7.043753,-0.993933
146421791,-0.864602,-5.143304,-4.763694
146421801,-0.662223,-8.474776,-8.61728
146421811,1.804647,-16.362774,3.295547
146421821,2.651287,-15.143708,2.638114
146421831,1.324446,-12.240945,-0.173639
146421841,1.113684,-6.553971,1.834585
146421851,-1.733994,-8.404123,-0.372426
146421861,-3.205734,-9.715397,0.252675
146421871,-2.653682,-9.970467,-0.838257
146421884,-1.924398,-8.549023,-3.030897
146421894,-0.439486,-7.509584,-4.883445
146421904,1.373544,-7.943082,-5.494175
146421914,2.354304,-9.524993,-5.045109
146421924,2.472858,-10.035131,-3.684737
146421933,1.605861,-9.158555,-3.97214
146421943,0.130529,-7.71316,-2.699187
146421953,-1.78429,-6.922804,-2.930306
146421963,-2.887196,-7.351512,-3.537444
146421973,-2.13995,-7.084468,-3.699108
146421983,-0.62031,-6.588699,-4.901407
146421993,0.076641,-7.476053,-4.509822
146422003,0.421523,-9.304651,-2.636916
146422013,-1.056204,-9.687854,-0.683778
146422023,-3.210524,-9.747729,-0.202379
146422033,-3.842809,-9.879456,-0.481399
146422043,-3.434458,-9.610016,-1.5867
146422053,-2.501598,-9.912986,-3.051255
146422063,-1.852548,-9.45434,-4.133804
146422073,-1.898053,-9.661509,-4.448749
146422083,-2.074087,-10.068662,-2.013014
146422093,-1.383124,-10.157278,-1.816622
146422103,-0.510139,-9.091495,-1.985471
146422113,0.300575,-8.916657,-2.398612
146422123,0.704136,-8.943003,-1.482517
146422133,0.767604,-8.380174,-0.449066
146422143,0.808319,-7.273675,0.0479
146422153,0.756826,-6.7324,-0.320933
146422163,0.229922,-6.665339,-1.736389
146422173,-0.556842,-6.933581,-3.489543
146422183,-0.696951,-7.731123,-5.148095
146422193,-0.687371,-8.242459,-6.307284
146422203,-0.540077,-7.182663,-4.434379
146422213,-0.074246,-8.064031,-3.896697
146422223,0.819097,-9.353748,-1.318458
146422233,0.130529,-10.121352,-0.538879
146422243,-0.602347,-10.860216,-1.991459
146422253,-0.761616,-10.615924,-2.967429
146422263,-0.876577,-8.937016,-5.114564
146422273,-1.944756,-6.829398,-6.148015
146422283,-3.606899,-7.292834,-7.583829
146422293,-4.691843,-5.933661,-8.158634
146422303,-5.594766,-4.82836,-11.615845
146422313,-5.690567,-3.32309,-12.604988
146422323,-3.772156,-3.551814,-10.918894
146422333,-0.55804,-5.126539,-8.048463
146422342,1.112487,-6.483318,-5.891748
146422352,0.753234,-7.292834,-6.889274
146422362,-1.601071,-7.762258,-10.510543
146422372,-3.341052,-6.767127,-10.590776
146422382,-3.112328,-6.828201,-11.371552
146422392,-1.334026,-4.811594,-11.173964
146422402,-0.204774,-3.39973,-8.140672
